N of M,Avg Runtime Mapping (s),Avg Runtime No Mapping (s),Speed Up Factor
1 of 1,0.0011672127246856688,0.0011712351799011236,1.0034462057604263
1 of 2,0.001206652498245239,0.0016432968139648443,1.3618641790860173
2 of 2,0.0021222182273864746,0.0025220040321350095,1.188381100298471
1 of 3,0.0012671776771545412,0.0020874755382537845,1.6473424176325688
2 of 3,0.002133906698226929,0.0035471392154693597,1.662274746321707
3 of 3,0.003006894779205323,0.0044328794002532965,1.4742382842624242
1 of 4,0.0012669309616088866,0.00267531599998474,2.1116509747203063
2 of 4,0.002155580472946167,0.004210120964050293,1.9531263234612888
3 of 4,0.0031232453823089594,0.005953001117706299,1.906030551241975
4 of 4,0.003981819820404053,0.006564653253555297,1.6486565313468031
1 of 5,0.0013097456932067873,0.0029365698337554926,2.2420916128882866
2 of 5,0.002342160606384277,0.005062889671325684,2.161632151751347
3 of 5,0.0030896368980407713,0.007267079114913942,2.3520819289548904
4 of 5,0.003952836322784422,0.00806620898246765,2.0406129482198554
5 of 5,0.004803972768783571,0.008460209178924564,1.761085998217846
1 of 6,0.00139784197807312,0.0034495193481445313,2.467746284812238
2 of 6,0.002236884927749634,0.005774157285690308,2.5813385454294533
3 of 6,0.003109226179122925,0.007790308618545532,2.50554580778137
4 of 6,0.003967060470581056,0.01036956944465637,2.6139176656254848
5 of 6,0.004849306154251098,0.010976331520080564,2.2634849545348397
6 of 6,0.005758424758911132,0.01178453516960144,2.0464859163723434
1 of 7,0.00143409104347229,0.003866497230529786,2.6961309382199596
2 of 7,0.0022907292842865,0.007192537879943846,3.13984630540231
3 of 7,0.003223127889633179,0.009482415008544921,2.9419915477272935
4 of 7,0.004015207624435424,0.011868249130249024,2.955824515280903
5 of 7,0.004875976657867432,0.012514610004425046,2.566585298195103
6 of 7,0.005755469131469727,0.014784724140167233,2.5688130372079296
7 of 7,0.006611411905288694,0.016028479528427123,2.4243655905942565
1 of 8,0.0014637176513671874,0.004158218622207641,2.840861158109046
2 of 8,0.0023160110473632806,0.007535405015945437,3.253613588987109
3 of 8,0.0032009851455688486,0.01082836775779724,3.3828234950690237
4 of 8,0.004046675729751587,0.01286017174720764,3.1779595416203725
5 of 8,0.004893523931503295,0.015044520092010499,3.074373458185747
6 of 8,0.005740521669387818,0.0171076144695282,2.9801497938344332
7 of 8,0.006645289802551267,0.018225967025756837,2.7426895691982467
8 of 8,0.007453099679946899,0.018560847473144525,2.490352775380668
1 of 9,0.001488445997238159,0.004883310413360597,3.280811277279576
2 of 9,0.0023586421489715575,0.008886121129989622,3.7674732192266855
3 of 9,0.0032031290054321286,0.012882837343215941,4.021953946084647
4 of 9,0.004100658559799196,0.01358544783592224,3.312991715308163
5 of 9,0.004919972324371339,0.016342368698120117,3.321638338729538
6 of 9,0.005762507438659668,0.01922928876876831,3.336965543812114
7 of 9,0.0066186227798461904,0.02090294971466065,3.158202304308754
8 of 9,0.007647655582427978,0.020860419130325315,2.7276881006849094
9 of 9,0.00841032137870789,0.023672697639465338,2.814719744170141
1 of 10,0.001553429222106934,0.004834185647964478,3.1119445798810297
2 of 10,0.0024366535663604737,0.009474861383438114,3.8884729098319517
3 of 10,0.003280720329284668,0.013082953310012819,3.987829499890788
4 of 10,0.004116435956954956,0.015746354627609253,3.8252397929341955
5 of 10,0.00493558611869812,0.019208830499649044,3.8919046365897136
6 of 10,0.005805386161804199,0.02188812370300293,3.7703131355865795
7 of 10,0.006833198881149293,0.02326566934585571,3.4047990919799775
8 of 10,0.007520099878311159,0.025164294385910044,3.3462712986680923
9 of 10,0.008390462350845335,0.02614140334129333,3.1156093965023985
10 of 10,0.009229026651382446,0.027757117605209353,3.007588844816211
1 of 11,0.0015591809749603272,0.005504058885574342,3.5300962325520877
2 of 11,0.0025020268440246584,0.010939108467102047,4.372098761940477
3 of 11,0.0033947390556335454,0.014739339256286621,4.341818035123139
4 of 11,0.004347863340377807,0.01850148530006409,4.255305158339316
5 of 11,0.005235310316085815,0.022781156396865846,4.351443376120291
6 of 11,0.006173878288269044,0.025176115083694457,4.077844412892213
7 of 11,0.006977558374404906,0.029053908109664923,4.163907566325855
8 of 11,0.007564023637771606,0.028409770870208746,3.7559072037192083
9 of 11,0.008428956747055051,0.030336457586288456,3.5990761961007274
10 of 11,0.009285471010208131,0.030068858194351202,3.2382695677251614
11 of 11,0.010274586534500125,0.03157488222122192,3.0731048996667085
1 of 12,0.0016336388111114508,0.005626947021484375,3.4444254037133617
2 of 12,0.0024839355468750006,0.011579810094833373,4.661880260702314
3 of 12,0.003377661991119385,0.015106547975540157,4.472486594353902
4 of 12,0.004221574783325194,0.020004413414001457,4.738614010349154
5 of 12,0.005130829143524171,0.0226581946849823,4.416088326304947
6 of 12,0.005883200931549072,0.02675805807113647,4.548214208976703
7 of 12,0.006818517065048217,0.028514219379425044,4.181879887870223
8 of 12,0.007656715011596679,0.03363727707862854,4.393173446795697
9 of 12,0.008423711252212522,0.03465983695983887,4.114556627369596
10 of 12,0.009422201728820802,0.03260721998214721,3.4606794590703416
11 of 12,0.010198907041549682,0.03668840503692628,3.597287914034329
12 of 12,0.011127273607254028,0.037402299880981454,3.3613175339373664
1 of 13,0.001675089740753174,0.006244415092468263,3.727809287197099
2 of 13,0.002503161430358887,0.010777924442291259,4.305724877179013
3 of 13,0.0033666315078735337,0.016841468334198,5.0024685786997765
4 of 13,0.004329414319992066,0.022689875936508175,5.240864989920797
5 of 13,0.005114014673233033,0.02630599536895752,5.14390299008022
6 of 13,0.0060705067157745375,0.02891947646141051,4.763931219491397
7 of 13,0.006911375999450685,0.033229401922225954,4.807928540549236
8 of 13,0.007793043375015257,0.03552922501564026,4.559094990995184
9 of 13,0.008740003633499147,0.03793455066680907,4.340335800480852
10 of 13,0.009448689937591551,0.03922149820327759,4.150998547135631
11 of 13,0.010266936397552488,0.041679207849502554,4.059556447572653
12 of 13,0.011174147129058835,0.04145715203285218,3.7100954152501835
13 of 13,0.01199443221092224,0.04437261710166931,3.699434564419247
1 of 14,0.001689002561569214,0.006399736928939822,3.7890628910556368
2 of 14,0.002533138942718507,0.012979848957061765,5.124017770273623
3 of 14,0.003473516464233398,0.018497435379028322,5.32527643657238
4 of 14,0.0043108139514923096,0.022856119680404657,5.30204270877716
5 of 14,0.0051403238773345935,0.02738069891929626,5.3266485872664395
6 of 14,0.005999197626113891,0.031513998317718506,5.253035536042571
7 of 14,0.006862394428253173,0.035047238349914564,5.107144265217623
8 of 14,0.007828380632400513,0.03771926684379578,4.818271953676
9 of 14,0.008605164623260497,0.041870977258682246,4.86579619238212
10 of 14,0.009414806413650511,0.042875808095932,4.5540828151034995
11 of 14,0.01034997000694275,0.044878015422821056,4.336052702830726
12 of 14,0.011570428037643434,0.04942104358673093,4.271323707813025
13 of 14,0.012907320356369021,0.05226050143241884,4.0489040319380685
14 of 14,0.016617989015579225,0.05947245426177977,3.5787997095211006
1 of 15,0.0020175977706909185,0.007824777889251709,3.8782645396025313
2 of 15,0.003138289022445677,0.015119590187072754,4.817781306608279
3 of 15,0.004105356311798096,0.022260538339614867,5.422315786730098
4 of 15,0.005194522666931152,0.028458727598190302,5.478603025329236
5 of 15,0.005440793800354005,0.03125701332092286,5.74493621112587
6 of 15,0.0060837017059326174,0.034400443363189696,5.654524995800429
7 of 15,0.007149292516708373,0.040292221307754526,5.635833365831503
8 of 15,0.008000464057922364,0.04143773865699767,5.1794168884446705
9 of 15,0.0086620822429657,0.045527010631561275,5.255896833412409
10 of 15,0.009511057090759277,0.04732841463088991,4.976146623793595
11 of 15,0.01041099743843079,0.04890808858871459,4.697733226614483
12 of 15,0.011467821168899536,0.0533991659641266,4.656435183079406
13 of 15,0.012225715589523314,0.05244307594299318,4.289571073282096
14 of 15,0.013046218967437746,0.05436470308303832,4.167084978316553
15 of 15,0.013839028358459477,0.05691321048736571,4.112514911682798
Overall Avg,0.00566608436067899,0.021877095009485873,3.6554247725758007
